Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
LOW,GitLab,"Intermediate Backend Engineer (C), Tenant Scale: Git",India,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427060675,,2026-06-11,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer III, AI/ML GenAI, Google Cloud Compute","Sunnyvale, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416123458,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Zalando,Senior Machine Learning Engineer (all genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427023454,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Airbnb,"iOS Software Engineer, Airbnb - New Grad","Seattle, WA",fulltime,"$128,000 - $142,000 / yearly",To Apply,,Review draft,https://www.linkedin.com/jobs/view/4408023524,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Full Stack Engineer, Support Experience","Dublin, County Dublin, Ireland",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416457801,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Principal Software Engineer (Fullstack - Copilot),"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407831995,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Zalando,Senior Data Engineer - Lounge by Zalando (all genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427037250,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,AMD,Software Development Engineer,"Secaucus, NJ",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4413362212,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Working Student (f/m/d) - SAP HANA Cloud Infrastructure,"Berlin, Berlin, Germany",internship,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426085848,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Rakuten,ECロジスティクス開発部：グループマネージャー候補（ECLD）,"Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415910675,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Databricks,Sr. Forward Deployed Engineer,Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423109286,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Intuit,Software Engineer 1,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426093851,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Intuit,Software Engineer 1,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426107188,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Hitachi Vantara,Software Engineer Expert,"Pune Division, Maharashtra, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426768761,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,BlackLine,Staff I Software Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415944758,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,BlackLine India,Staff I Software Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416931260,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,ThreatXIntel,Freelance Opportunity – Senior AI/ML Scientist (GenAI & Machine Learning),India,parttime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426792334,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,フォワード デプロイド エンジニア、生成 AI、Google Cloud（日本語、英語）,"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417077149,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Full stack developer(Java/Angular)- Devanahalli,"Bengaluru, Karnataka, India",contract,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426059137,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Netflix,"Full-Stack Engineer 5 –  AI Insights & Visualizations, AI Platform",Remote,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4347685563,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Grafana Labs,Senior Backend Engineer - Grafana Search & Storage | UK | Remote,"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416691065,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineering Manager, Open Source Security",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426797637,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,ServiceNow,Staff Software Engineer - Moveworks,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416674477,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Dev Engineer (L5), FinTech","Gurugram, Haryana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407836774,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,SDE2,"Gurugram, Haryana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4339397317,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,UBS,Data Scientist,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4387101015,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Senior AI Specialist,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4414127870,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,MaxLinear,AI Engineer,"Irvine, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4424919496,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Booking.com,Machine Learning Engineer II - GenAI Applications,"Tel Aviv District, Israel",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4345693142,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Spotify,Machine Learning Engineer - Artist-First AI Music Lab,"New York, NY",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426552123,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Zalando,Machine Learning Engineer (all genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427029345,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,AMD,Full Stack AI Software Development,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423127943,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,UniCredit Bulbank,Full Stack Developer (React+Java),"Sofia, Sofia City, Bulgaria",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426076669,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Integration Engineer (German Speaking), Professional Services","Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426534104,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Wise,Software Engineer - Java - Japanese Speaking,Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4394429544,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Singapore Airlines,Information Technology - Information Technology - Lead Software Engineer (AI Ops and Resilience),"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4272076921,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Okta,Staff Software Engineer - Data Platform,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4374271196,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,LinkedIn,"Sr. Staff Software Engineer, Systems Infrastructure","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4397786457,,2026-06-10,Yes,Outreach Pending,,LinkedIn
